uuid,question,options,answer,answer_letter,discipline,field,subfield,difficulty,is_calculation
dd5c689ddaa44801ab257eeb343ec9fb,"Company A signed a loan contract with Bank B, agreeing that the loan period would be from March 25, 2010 to March 24, 2011. Bank B did not assert any claims against Company A until April 15, 2013, when Bank B transferred the claim to Company C and notified Company A. On May 16, 2013, Company D purchased and took over Company A through a public auction. Which of the following options is correct?","['Since Bank B notified Company A of the transfer of the claim, Company D can assert the defense of the statute of limitations against Company C, but only if the claim was not interrupted on April 15, 2013', 'Since Bank B notified Company A of the transfer of the claim, Company A can assert the defense of the statute of limitations against Company C', 'Since Bank B notified Company A of the transfer of the claim, Company D cannot assert the defense of the statute of limitations against Company C', Company D has the right to assert the defense of the statute of limitations against Company C, 'Since Bank B notified Company A of the transfer of the claim, Company D can assert the defense of the statute of limitations against Company C, but only if the claim was not interrupted on May 16, 2013', 'Since Bank B notified Company A of the transfer of the claim, Company A cannot assert the defense of the statute of limitations against Company C', 'The statute of limitations for Company A\'s debt was interrupted on April 15, 2013', 'Since Bank B notified Company A of the transfer of the claim, Company D can assert the defense of the statute of limitations against Company C, but only if the claim was not interrupted', 'Since Bank B notified Company A of the transfer of the claim, Company D can assert the defense of the statute of limitations against Company C, but only if the claim was not interrupted on March 25, 2013', 'The statute of limitations for Company D\'s debt was interrupted on May 16, 2013']",Company D has the right to assert the defense of the statute of limitations against Company C,D,Law,Law,Procedural Law,hard,false
9e01fa6d6aad467185c460a0d9f48c30,"Li is a graduate of a regular university, 23 years old, and has not yet found employment. According to the Constitution and laws, which of the following options regarding Li's rights and obligations is correct?","[Has the right to vote and be elected if a citizen, Has the right to receive unemployment benefits if unemployed, Has the right to receive unemployment benefits, Has the right to rest, Has the right to vote and be elected, Has the right to vote and be elected if over 18 years old, Cannot be conscripted for active military service, No need to bear the obligation of taxation, Has the right to vote and be elected if registered, Has the right to receive unemployment benefits if employed]",Has the right to vote and be elected,E,Law,Law,Constitutional and Administrative Law,easy,false
d36d1c6ba91e4940a584350508ba9e52,"A citizen of a certain province, Citizen A, suffered from a serious illness and received treatment in a hospital for many years without improvement. A, in unbearable pain and wishing to end his life, told Doctor B that he felt better and asked B to stop active medication. B understood A's intention, and three days later, A passed away. Regarding this case, which of the following statements is correct?","['B\'s actions, while not clearly defined under the Constitution, may still be subject to ethical guidelines and professional standards in the medical field, and could be considered a form of active euthanasia', 'B\'s actions, while not clearly defined under the Constitution, may still be subject to ethical guidelines and professional standards in the medical field, and could be considered a form of assisted suicide', 'B\'s actions have not been clearly defined under our Constitution and laws', 'A\'s death was achieved through B\'s compliance, B violated Article 37 of the Constitution regarding personal freedom, and should therefore bear criminal responsibility for intentional homicide', 'B\'s actions, while not clearly defined under the Constitution, may still be subject to ethical guidelines and professional standards in the medical field, and could be considered a form of compassionate care', 'According to Article 38 of our Constitution, A\'s dignity was violated', 'B violated A\'s right to life', 'B\'s actions, while not clearly defined under the Constitution, may still be subject to ethical guidelines and professional standards in the medical field, and could be considered a form of passive euthanasia', 'B\'s actions, while not clearly defined under the Constitution, may still be subject to ethical guidelines and professional standards in the medical field, and could be considered a form of assisted dying', 'B\'s actions, while not clearly defined under the Constitution, may still be subject to ethical guidelines and professional standards in the medical field']",B's actions have not been clearly defined under our Constitution and laws,C,Law,Law,Criminal Law,middle,false
9c0c3494b1d747a88bf9a8b1a69080ce,"A camera worth 10,000 yuan was mistakenly labeled with a price tag of 1,000 yuan. When a customer inquired about the price, the salesperson stated that the selling price was 1,000 yuan. Which of the following statements is correct?","['The price tag posted is for an indefinite number of people, and it is an expression of intent without a specific party', 'The salesperson\'s expression of intent is an expression of intent with a specific party, but the literal interpretation should be adjusted to reflect the true intent.', 'The salesperson\'s expression of intent is an expression of intent with a specific party, but the literal interpretation should be adjusted to reflect the true intent of the salesperson.', 'The salesperson\'s expression of intent is an expression of intent with a specific party, but the literal interpretation should be adjusted to reflect the true intent of the customer.', 'The salesperson made an incorrect expression of intent, which is invalid', 'The salesperson\'s expression of intent is an expression of intent with a specific party, but the literal interpretation should be adjusted to reflect the true intent of the salesperson and the customer.', 'The salesperson\'s expression of intent is an expression of intent with a specific party, but due to the error in the expression, the content of the expression of intent should be determined according to the true intention of the salesperson', 'The salesperson\'s expression of intent is an expression of intent with a specific party, and the literal interpretation should be adopted.', 'The salesperson\'s expression of intent is an expression of intent with a specific party, but the literal interpretation should be adjusted to reflect the true intent of the store management.', 'The salesperson\'s expression of intent is an expression of intent with a specific party, but the literal interpretation should be adjusted to reflect the true intent of the store.']","The salesperson's expression of intent is an expression of intent with a specific party, and the literal interpretation should be adopted.",H,Law,Law,Civil and Commercial Law,middle,false
8742439dddb341dbb2234f5977ccf29c,"The 8th National Congress of the Communist Party of China correctly analyzed the main contradiction and the main task of Chinese society after the completion of socialist transformation. At that time, the fundamental task of the country was ( )","[to protect and enhance productive forces within the new economic relations, to promote and safeguard economic growth under the new production relations, 'class struggle, strengthening people\'s democratic dictatorship', eliminating the system of exploitation, to protect and develop productive forces under the new production relations, to protect and enhance productive forces within the new production relations, to promote and enhance productivity within the new production relations, 'developing intra-party democracy and people\'s democracy', to enhance and expand economic reforms under the new production relations, to protect and enhance productive forces under the new production relations]",to protect and develop productive forces under the new production relations,E,Law,Political Science,Political Science,middle,false
dd6683ad44be41a3b8cbb3dbb414c034,"Company A issued a transfer check to Company C with Bank B in the same city as the payer to pay for goods. Company C presented the check to Bank B for payment 14 days after the issuance date. According to the provisions of the negotiable instruments law, which of the following statements is correct?","[Bank B should unconditionally pay, Bank B should pay if the check is presented within 10 days, Bank B should pay if the check is presented within 12 days, Bank B should pay if the check is presented within 14 days, 'If Bank B refuses to pay, Company A still bears the liability under the negotiable instrument', Bank B should pay if the check is presented within 11 days, Bank B can refuse to pay, Bank B should pay if the check is presented within 15 days, Bank B should pay if the check is presented within 13 days, 'If Company A has sufficient funds in Bank B to cover the check amount, Bank B should pay the full amount']",Bank B can refuse to pay,G,Law,Law,Civil and Commercial Law,middle,false
6658aae807b8407a87425d3ddf9b2c96,The constitutional amendment adopted at the first session of the 13th National People's Congress in 2018 was the first to be written into the Constitution is (),"[Mao Zedong Thought, Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, Xi Jinping Thought on Socialism with Chinese Characteristics for the New Era, 'Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era (2017)', Deng Xiaoping Theory, 'Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era (2019)', Hu Jintao Thought on Socialism with Chinese Characteristics, Xi Jinping Thought on Socialism with Chinese Characteristics for the 21st Century, 'Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era (2018)', 'Xi Jinping Thought on Socialism with Chinese Characteristics for the 21st Century (2018)']",Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era,B,Law,Political Science,Political Science,easy,false
f4557bc94c744759ac2c3add38737298,"According to the provisions of China's Contract Law, under which of the following circumstances are standard terms invalid?","['There are circumstances as stipulated in Article 52 of the Contract Law, including: (1) one party enters into a contract by means of fraud or coercion, damaging the interests of the state; (2) malicious collusion, damaging the interests of the state, collective, or third parties; (3) using legal form to conceal illegal purposes; (4) damaging public interests; (5) violating mandatory provisions of laws or administrative regulations.', The contract includes standard terms., 'The party providing the standard terms exempts itself from liability for minor negligence, imposes additional liability on the other party, or excludes the main rights of the other party.', The contract includes standard terms that are not reviewed by the other party before the contract is signed., 'The party providing the standard terms exempts itself from liability for any negligence, imposes additional liability on the other party, or excludes the main rights of the other party.', 'There are circumstances as stipulated in Article 52 of the Contract Law, including: (1) one party enters into a contract by means of fraud or coercion, damaging the interests of the state; (2) malicious collusion, damaging the interests of the state, collective, or third parties; (3) using legal form to conceal illegal purposes; (4) damaging public interests; (5) violating mandatory provisions of laws or administrative regulations, but only if the contract is oral.', The contract includes standard terms that are not reviewed by the other party and are signed under duress., 'There are circumstances as stipulated in Article 52 of the Contract Law, including: (1) one party enters into a contract by means of fraud or coercion, damaging the interests of the state; (2) malicious collusion, damaging the interests of the state, collective, or third parties; (3) using legal form to conceal illegal purposes; (4) damaging public interests; (5) violating mandatory provisions of laws or administrative regulations, but only if the contract is not in writing.', 'The party providing the standard terms exempts itself from liability, imposes additional liability on the other party, or excludes the main rights of the other party.', 'There are exemption clauses as stipulated in Article 53 of the Contract Law, including: (1) causing personal injury to the other party; (2) causing property loss to the other party due to intentional or gross negligence.']","There are circumstances as stipulated in Article 52 of the Contract Law, including: (1) one party enters into a contract by means of fraud or coercion, damaging the interests of the state; (2) malicious collusion, damaging the interests of the state, collective, or third parties; (3) using legal form to conceal illegal purposes; (4) damaging public interests; (5) violating mandatory provisions of laws or administrative regulations.",A,Law,Law,Contract Law,middle,false
dcbcd2b5a7f14dbfa1c5b2db7fd8bd40,"According to the provisions of the General Principles of the Civil Law, which of the following statements are correct:","[Personal information of others should be obtained in accordance with the law and regulations, Personal information of others should be obtained in accordance with the regulations, Personal information of others should be obtained in accordance with the regulations and ethical guidelines, 'It is not allowed to illegally collect, use, process, or transmit others\' personal information', Personal information of others should be obtained in accordance with the law or regulations, 'When obtaining others\' personal information, it should ensure information security', 'It is not allowed to illegally buy, sell, provide, or disclose others\' personal information', Personal information of others should be obtained in accordance with the law or ethical guidelines, Personal information of others should be obtained in accordance with the law and ethical standards, Personal information of others should be obtained in accordance with the law]",Personal information of others should be obtained in accordance with the law,J,Law,Law,Civil and Commercial Law,easy,false
d78f0183eed94b1b9e9e2cfe607fa1ba,"In the context of the path, system, and theory framework of socialism with Chinese characteristics, the relationship between the Party and the law is concentrated in ( ).","[The relationship between the Party and the law is a concentrated reflection of the relationship between governance and the rule of law., The relationship between the Party and the law is a concentrated reflection of the relationship between the state and governance., 'The will of the Party, the will of the people, and the will of the law are essentially consistent', The leadership of the Party is the most fundamental guarantee of the rule of law in socialism with Chinese characteristics, The relationship between the Party and the law is a concentrated reflection of the relationship between the state and the rule of law., The relationship between the Party and the law is a concentrated reflection of the relationship between politics and the rule of law., The relationship between the Party and the law is a concentrated reflection of the relationship between the state and the people., The relationship between the Party and the law is a concentrated reflection of the relationship between the state and the legal system., Whether the Party is greater than the law is a true proposition, The relationship between the Party and the law is a concentrated reflection of the relationship between governance and the legal system.]",The relationship between the Party and the law is a concentrated reflection of the relationship between politics and the rule of law.,F,Law,Law,Constitutional and Administrative Law,middle,false
